age-group;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
45-49;4.565.238;4.728.454;4.890.915;5.053.210;5.216.606;5.381.264;5.546.549;5.713.409;5.874.903;6.020.606;6.144.517;6.248.398;6.332.117;6.401.824;6.467.486;6.536.317;6.607.609;6.680.665;6.762.076;6.860.758;6.981.865;7.123.493;7.284.093;7.460.079;7.645.818;7.835.496;8.028.941;8.229.275;8.415.371;8.556.060;8.633.043;8.648.823;8.599.433;8.508.675;8.415.472;8.345.097;8.293.780;8.263.509;8.249.746;8.241.667;8.232.673;8.226.176;8.223.327;8.223.462;8.225.189;8.224.047;8.235.751;8.226.561;8.195.969;8.143.765;8.072.911;7.967.015;7.859.204;7.749.703;7.639.517;7.529.800;7.421.736;7.316.338;7.214.373;7.116.239;7.022.123
50-54;3.670.106;3.824.613;3.979.913;4.136.228;4.294.715;4.455.852;4.617.999;4.779.466;4.940.806;5.103.257;5.266.965;5.431.370;5.597.419;5.758.270;5.903.671;6.027.724;6.132.091;6.216.646;6.287.407;6.354.175;6.424.001;6.496.128;6.569.866;6.651.785;6.750.660;6.871.579;7.012.653;7.172.346;7.347.144;7.531.520;7.719.790;7.911.741;8.110.567;8.295.349;8.435.314;8.512.419;8.529.243;8.481.812;8.393.605;8.302.942;8.234.725;8.185.257;8.156.438;8.143.810;8.136.756;8.128.802;8.123.304;8.121.357;8.122.306;8.124.777;8.124.357;8.136.649;8.128.196;8.098.537;8.047.473;7.977.938;7.873.834;7.767.805;7.660.046;7.551.570;7.443.520
55-59;2.858.334;2.966.203;3.095.108;3.239.508;3.390.226;3.541.401;3.693.942;3.847.352;4.001.825;4.158.483;4.317.778;4.478.153;4.637.953;4.797.722;4.958.647;5.120.879;5.283.841;5.448.426;5.607.955;5.752.390;5.875.979;5.980.290;6.065.203;6.136.621;6.204.086;6.274.483;6.347.070;6.421.160;6.503.218;6.601.828;6.721.984;6.861.813;7.019.900;7.192.736;7.374.994;7.561.142;7.750.995;7.947.573;8.130.334;8.269.024;8.345.993;8.363.809;8.318.616;8.233.467;8.145.915;8.080.341;8.033.110;8.006.036;7.994.726;7.988.810;7.981.996;7.977.534;7.976.547;7.978.377;7.981.635;7.981.978;7.994.803;7.987.154;7.958.627;7.909.041;7.841.245
60-64;2.403.019;2.458.834;2.507.615;2.557.911;2.622.675;2.709.457;2.816.093;2.942.803;3.084.337;3.231.994;3.380.202;3.529.825;3.680.353;3.831.948;3.985.696;4.142.038;4.299.498;4.456.500;4.613.541;4.771.756;4.931.268;5.091.476;5.253.241;5.410.120;5.552.361;5.674.396;5.777.772;5.862.359;5.933.879;6.001.551;6.071.991;6.144.475;6.218.464;6.300.210;6.398.037;6.516.779;6.654.648;6.810.135;6.979.910;7.158.835;7.341.555;7.527.870;7.720.653;7.899.923;8.036.259;8.112.462;8.131.121;8.088.590;8.007.259;7.923.628;7.861.315;7.816.753;7.791.680;7.781.842;7.777.210;7.771.660;7.768.366;7.768.426;7.771.149;7.775.232;7.776.439
65-69;1.891.445;1.947.310;2.013.932;2.085.913;2.154.819;2.216.401;2.272.423;2.322.041;2.373.203;2.437.948;2.523.317;2.627.318;2.750.179;2.886.941;3.029.514;3.172.665;3.317.226;3.462.770;3.609.468;3.758.315;3.909.710;4.062.213;4.214.341;4.366.575;4.519.992;4.674.688;4.830.075;4.986.966;5.139.183;5.277.395;5.396.287;5.497.361;5.580.670;5.651.612;5.718.906;5.788.840;5.860.764;5.934.001;6.014.613;6.110.619;6.226.670;6.360.998;6.512.048;6.676.660;6.850.027;7.027.064;7.207.543;7.394.202;7.567.798;7.699.993;7.774.327;7.793.468;7.754.095;7.677.668;7.599.138;7.541.060;7.499.930;7.477.324;7.469.219;7.466.011;7.461.914
70-74;1.491.525;1.529.209;1.560.457;1.590.340;1.626.130;1.671.742;1.726.046;1.789.937;1.858.559;1.924.395;1.983.666;2.038.125;2.087.114;2.137.798;2.200.991;2.283.016;2.382.041;2.498.257;2.627.186;2.761.513;2.896.479;3.032.847;3.170.249;3.308.876;3.449.593;3.592.772;3.737.071;3.881.124;4.025.361;4.170.770;4.317.425;4.464.761;4.613.557;4.757.982;4.889.354;5.002.754;5.099.691;5.180.210;5.249.314;5.315.055;5.383.190;5.453.115;5.524.197;5.602.137;5.694.517;5.805.691;5.933.870;6.077.476;6.233.581;6.397.878;6.565.673;6.736.660;6.913.417;7.077.765;7.202.981;7.273.739;7.292.790;7.257.293;7.187.425;7.115.800;7.063.380
75-79;999.025;1.043.982;1.093.050;1.142.902;1.189.087;1.229.623;1.265.467;1.296.168;1.325.911;1.360.680;1.403.669;1.454.069;1.512.790;1.575.633;1.636.200;1.691.282;1.742.430;1.789.157;1.837.630;1.897.164;1.973.181;2.064.037;2.169.854;2.286.743;2.408.420;2.530.790;2.654.578;2.779.471;2.905.631;3.033.779;3.164.209;3.295.717;3.427.098;3.558.744;3.691.534;3.825.540;3.960.239;4.096.281;4.228.410;4.348.810;4.453.097;4.542.734;4.617.895;4.683.045;4.745.226;4.809.485;4.875.286;4.942.051;5.014.963;5.100.939;5.203.886;5.322.016;5.453.736;5.596.538;5.746.740;5.900.173;6.056.475;6.217.900;6.367.832;6.482.029;6.546.745
80-84;589.069;611.645;636.884;665.028;696.641;731.666;769.712;811.100;853.176;892.448;927.357;958.923;987.075;1.014.924;1.046.968;1.085.523;1.129.954;1.180.932;1.235.133;1.287.481;1.335.521;1.380.605;1.422.498;1.466.174;1.519.070;1.585.449;1.663.929;1.754.539;1.854.136;1.957.711;2.061.997;2.167.611;2.274.327;2.382.256;2.491.945;2.603.596;2.716.264;2.828.977;2.942.058;3.056.247;3.171.589;3.287.617;3.404.844;3.518.752;3.622.714;3.713.071;3.791.264;3.857.610;3.915.784;3.971.522;4.028.957;4.087.633;4.147.031;4.211.637;4.287.439;4.377.702;4.480.693;4.594.832;4.718.089;4.847.595;4.979.937
85-89;304.174;308.210;316.552;328.026;341.813;357.308;374.614;393.813;415.012;438.555;464.297;492.290;523.053;554.669;584.676;611.973;637.314;660.756;684.305;710.925;742.051;777.289;817.147;859.254;900.033;937.800;973.683;1.007.684;1.043.384;1.086.060;1.138.687;1.200.143;1.270.319;1.346.912;1.426.404;1.506.527;1.587.821;1.670.208;1.753.752;1.838.803;1.925.444;2.012.986;2.100.713;2.188.876;2.278.058;2.368.257;2.459.077;2.550.881;2.640.112;2.721.670;2.792.805;2.854.833;2.908.222;2.955.705;3.001.442;3.048.436;3.096.312;3.144.669;3.197.078;3.258.221;3.330.602
90+;180.924;186.470;191.771;197.362;203.432;209.971;217.912;227.950;239.726;252.883;267.130;282.908;300.584;320.111;341.555;364.745;390.047;417.970;447.381;476.883;505.777;534.802;564.381;595.070;627.780;662.856;700.409;740.945;783.249;825.682;867.513;909.692;952.650;997.952;1.047.879;1.103.665;1.164.942;1.231.734;1.303.437;1.379.197;1.458.407;1.541.304;1.627.943;1.718.031;1.811.278;1.907.365;2.006.031;2.106.879;2.209.949;2.315.479;2.423.262;2.532.868;2.644.302;2.755.173;2.862.302;2.963.976;3.061.161;3.154.440;3.244.231;3.331.251;3.416.262
