age-group;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
45-49;8.928.759;9.245.644;9.561.223;9.876.810;10.195.079;10.516.466;10.839.702;11.166.621;11.483.586;11.770.215;12.014.841;12.220.897;12.388.253;12.528.960;12.662.331;12.802.397;12.947.682;13.096.707;13.262.537;13.462.945;13.708.027;13.993.809;14.316.876;14.670.172;15.042.635;15.422.795;15.810.822;16.213.587;16.588.846;16.874.409;17.033.914;17.072.761;16.983.383;16.812.818;16.637.972;16.508.759;16.417.021;16.365.907;16.346.853;16.339.154;16.330.262;16.326.988;16.331.692;16.343.125;16.358.374;16.366.372;16.402.468;16.396.676;16.347.910;16.255.673;16.127.682;15.927.207;15.722.308;15.513.229;15.301.953;15.090.608;14.881.530;14.676.869;14.478.252;14.286.647;14.102.602
50-54;7.105.097;7.404.596;7.704.810;8.006.479;8.312.316;8.623.561;8.937.019;9.249.416;9.561.999;9.877.343;10.195.824;10.516.455;10.841.091;11.156.334;11.442.231;11.687.344;11.894.903;12.064.747;12.208.578;12.345.155;12.488.105;12.635.859;12.786.967;12.954.362;13.155.430;13.400.074;13.684.429;14.005.163;14.355.374;14.724.314;15.100.814;15.484.918;15.883.582;16.255.288;16.538.991;16.698.964;16.740.742;16.656.809;16.493.257;16.325.379;16.202.110;16.115.449;16.068.387;16.052.577;16.047.755;16.041.708;16.041.099;16.048.217;16.061.823;16.078.975;16.088.836;16.126.391;16.122.543;16.076.268;15.987.120;15.862.673;15.667.032;15.466.962;15.262.640;15.056.039;14.849.297
55-59;5.445.582;5.652.053;5.900.595;6.179.657;6.470.614;6.761.728;7.054.866;7.349.075;7.644.993;7.945.147;8.250.688;8.558.690;8.866.088;9.174.062;9.485.114;9.799.612;10.116.412;10.437.153;10.748.841;11.032.142;11.276.016;11.483.451;11.654.298;11.799.936;11.938.419;12.082.892;12.231.912;12.384.079;12.551.911;12.752.285;12.994.816;13.275.689;13.591.840;13.936.571;14.299.605;14.670.166;15.048.319;15.440.584;15.806.494;16.086.494;16.245.849;16.290.085;16.212.032;16.056.561;15.896.880;15.780.523;15.699.652;15.657.070;15.644.667;15.642.798;15.639.650;15.641.658;15.651.080;15.666.720;15.685.692;15.697.402;15.736.134;15.734.177;15.690.644;15.605.163;15.485.087
60-64;4.513.522;4.611.832;4.697.462;4.787.311;4.906.585;5.069.578;5.271.797;5.513.487;5.783.963;6.065.924;6.348.447;6.633.208;6.919.282;7.207.232;7.499.452;7.797.050;8.097.251;8.397.098;8.697.681;9.001.331;9.308.355;9.617.564;9.930.456;10.234.695;10.511.746;10.751.046;10.955.553;11.125.130;11.270.592;11.409.142;11.553.270;11.701.530;11.852.814;12.019.094;12.216.618;12.454.642;12.729.500;13.038.005;13.373.829;13.727.242;14.087.975;14.455.992;14.837.457;15.193.398;15.466.372;15.622.940;15.668.711;15.597.041;15.451.077;15.301.180;15.192.846;15.118.454;15.080.630;15.071.600;15.072.553;15.072.167;15.076.652;15.088.198;15.105.569;15.126.051;15.139.410
65-69;3.493.661;3.589.547;3.706.117;3.833.079;3.954.731;4.063.480;4.162.692;4.250.785;4.343.115;4.462.513;4.621.978;4.817.408;5.048.950;5.306.850;5.575.432;5.844.703;6.116.344;6.389.645;6.665.075;6.944.755;7.229.599;7.517.010;7.804.232;8.092.297;8.383.370;8.677.688;8.974.099;9.274.015;9.565.761;9.831.897;10.062.488;10.260.382;10.425.744;10.568.612;10.705.014;10.846.599;10.992.096;11.140.218;11.302.384;11.494.014;11.723.912;11.988.470;12.284.471;12.606.015;12.944.170;13.289.296;13.641.306;14.006.000;14.346.277;14.607.597;14.758.459;14.804.562;14.739.995;14.605.569;14.467.646;14.368.993;14.302.260;14.269.745;14.264.145;14.267.823;14.270.191
70-74;2.696.950;2.756.503;2.805.444;2.853.004;2.912.039;2.989.210;3.082.622;3.194.031;3.314.471;3.430.343;3.535.046;3.631.693;3.718.984;3.810.343;3.925.728;4.076.511;4.259.166;4.473.931;4.712.250;4.960.344;5.209.414;5.460.931;5.714.314;5.970.010;6.229.791;6.494.438;6.761.620;7.028.840;7.297.004;7.568.054;7.842.140;8.118.157;8.397.420;8.669.173;8.917.478;9.133.333;9.319.566;9.476.452;9.613.097;9.743.893;9.879.277;10.018.121;10.159.211;10.313.148;10.494.214;10.710.433;10.958.236;11.234.409;11.533.618;11.848.058;12.169.057;12.496.358;12.835.215;13.151.213;13.393.929;13.534.561;13.578.964;13.522.382;13.402.459;13.279.838;13.193.419
75-79;1.759.132;1.832.671;1.912.831;1.993.863;2.068.284;2.133.020;2.190.158;2.239.350;2.287.859;2.345.842;2.418.507;2.504.505;2.605.448;2.713.799;2.818.329;2.913.596;3.002.421;3.084.038;3.169.590;3.275.690;3.411.743;3.574.724;3.764.731;3.974.631;4.193.005;4.412.524;4.634.545;4.858.662;5.085.164;5.315.456;5.550.102;5.787.045;6.024.149;6.262.184;6.502.853;6.746.305;6.991.589;7.239.774;7.481.399;7.702.507;7.895.309;8.062.549;8.204.729;8.329.685;8.449.660;8.573.526;8.700.284;8.828.862;8.968.671;9.132.372;9.326.963;9.548.937;9.795.119;10.061.095;10.340.433;10.625.693;10.916.465;11.217.207;11.497.236;11.712.016;11.836.481
80-84;994.067;1.031.252;1.072.847;1.119.013;1.170.440;1.226.862;1.287.905;1.354.364;1.421.793;1.484.515;1.540.149;1.590.517;1.635.653;1.680.744;1.733.123;1.796.449;1.869.824;1.954.490;2.044.693;2.131.881;2.212.046;2.287.583;2.358.190;2.432.504;2.523.248;2.637.518;2.772.874;2.929.285;3.101.226;3.279.955;3.459.893;3.642.108;3.826.318;4.012.703;4.202.249;4.395.326;4.590.417;4.785.891;4.982.382;5.181.267;5.382.602;5.585.568;5.790.979;5.991.000;6.174.224;6.334.426;6.474.217;6.594.310;6.700.935;6.803.678;6.909.475;7.017.521;7.126.896;7.245.458;7.383.738;7.547.363;7.733.063;7.937.789;8.158.135;8.389.364;8.625.639
85-89;493.932;496.283;507.823;525.567;547.520;572.304;600.073;630.986;665.093;702.752;743.640;787.832;836.135;885.459;931.944;973.943;1.012.885;1.049.081;1.085.738;1.127.421;1.176.296;1.231.832;1.294.967;1.361.753;1.426.443;1.486.408;1.543.578;1.598.035;1.655.710;1.725.232;1.811.290;1.911.986;2.027.081;2.152.704;2.282.994;2.414.239;2.547.386;2.682.408;2.819.390;2.958.912;3.101.112;3.244.949;3.389.292;3.534.611;3.681.914;3.831.184;3.981.766;4.134.205;4.282.622;4.418.641;4.537.819;4.642.443;4.733.432;4.815.189;4.894.324;4.975.618;5.058.451;5.142.135;5.232.638;5.337.832;5.461.797
90+;284.467;290.396;294.994;300.000;306.124;313.427;323.395;337.097;353.863;373.058;394.087;417.546;443.870;472.891;504.610;538.633;575.570;616.336;659.136;701.803;743.209;784.647;826.871;870.707;917.482;967.667;1.021.541;1.080.039;1.141.217;1.202.457;1.262.580;1.323.921;1.386.363;1.452.409;1.525.643;1.607.923;1.698.651;1.797.856;1.904.497;2.017.119;2.134.707;2.257.681;2.386.197;2.519.763;2.657.902;2.800.108;2.946.047;3.095.163;3.247.540;3.403.576;3.562.951;3.725.037;3.889.867;4.053.718;4.211.655;4.361.080;4.503.636;4.640.338;4.771.880;4.899.392;5.024.073
