age-group;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
45-49;4.363.521;4.517.190;4.670.308;4.823.600;4.978.473;5.135.202;5.293.153;5.453.212;5.608.683;5.749.609;5.870.324;5.972.499;6.056.136;6.127.136;6.194.845;6.266.080;6.340.073;6.416.042;6.500.461;6.602.187;6.726.162;6.870.316;7.032.783;7.210.093;7.396.817;7.587.299;7.781.881;7.984.312;8.173.475;8.318.349;8.400.871;8.423.938;8.383.950;8.304.143;8.222.500;8.163.662;8.123.241;8.102.398;8.097.107;8.097.487;8.097.589;8.100.812;8.108.365;8.119.663;8.133.185;8.142.325;8.166.717;8.170.115;8.151.941;8.111.908;8.054.771;7.960.192;7.863.104;7.763.526;7.662.436;7.560.808;7.459.794;7.360.531;7.263.879;7.170.408;7.080.479
50-54;3.434.991;3.579.983;3.724.897;3.870.251;4.017.601;4.167.709;4.319.020;4.469.950;4.621.193;4.774.086;4.928.859;5.085.085;5.243.672;5.398.064;5.538.560;5.659.620;5.762.812;5.848.101;5.921.171;5.990.980;6.064.104;6.139.731;6.217.101;6.302.577;6.404.770;6.528.495;6.671.776;6.832.817;7.008.230;7.192.794;7.381.024;7.573.177;7.773.015;7.959.939;8.103.677;8.186.545;8.211.499;8.174.997;8.099.652;8.022.437;7.967.385;7.930.192;7.911.949;7.908.767;7.910.999;7.912.906;7.917.795;7.926.860;7.939.517;7.954.198;7.964.479;7.989.742;7.994.347;7.977.731;7.939.647;7.884.735;7.793.198;7.699.157;7.602.594;7.504.469;7.405.777
55-59;2.587.248;2.685.850;2.805.487;2.940.149;3.080.388;3.220.327;3.360.924;3.501.723;3.643.168;3.786.664;3.932.910;4.080.537;4.228.135;4.376.340;4.526.467;4.678.733;4.832.571;4.988.727;5.140.886;5.279.752;5.400.037;5.503.161;5.589.095;5.663.315;5.734.333;5.808.409;5.884.842;5.962.919;6.048.693;6.150.457;6.272.832;6.413.876;6.571.940;6.743.835;6.924.611;7.109.024;7.297.324;7.493.011;7.676.160;7.817.470;7.899.856;7.926.276;7.893.416;7.823.094;7.750.965;7.700.182;7.666.542;7.651.034;7.649.941;7.653.988;7.657.654;7.664.124;7.674.533;7.688.343;7.704.057;7.715.424;7.741.331;7.747.023;7.732.017;7.696.122;7.643.842
60-64;2.110.503;2.152.998;2.189.847;2.229.400;2.283.910;2.360.121;2.455.704;2.570.684;2.699.626;2.833.930;2.968.245;3.103.383;3.238.929;3.375.284;3.513.756;3.655.012;3.797.753;3.940.598;4.084.140;4.229.575;4.377.087;4.526.088;4.677.215;4.824.575;4.959.385;5.076.650;5.177.781;5.262.771;5.336.713;5.407.591;5.481.279;5.557.055;5.634.350;5.718.884;5.818.581;5.937.863;6.074.852;6.227.870;6.393.919;6.568.407;6.746.420;6.928.122;7.116.804;7.293.475;7.430.113;7.510.478;7.537.590;7.508.451;7.443.818;7.377.552;7.331.531;7.301.701;7.288.950;7.289.758;7.295.343;7.300.507;7.308.286;7.319.772;7.334.420;7.350.819;7.362.971
65-69;1.602.216;1.642.237;1.692.185;1.747.166;1.799.912;1.847.079;1.890.269;1.928.744;1.969.912;2.024.565;2.098.661;2.190.090;2.298.771;2.419.909;2.545.918;2.672.038;2.799.118;2.926.875;3.055.607;3.186.440;3.319.889;3.454.797;3.589.891;3.725.722;3.863.378;4.003.000;4.144.024;4.287.049;4.426.578;4.554.502;4.666.201;4.763.021;4.845.074;4.917.000;4.986.108;5.057.759;5.131.332;5.206.217;5.287.771;5.383.395;5.497.242;5.627.472;5.772.423;5.929.355;6.094.143;6.262.232;6.433.763;6.611.798;6.778.479;6.907.604;6.984.132;7.011.094;6.985.900;6.927.901;6.868.508;6.827.933;6.802.330;6.792.421;6.794.926;6.801.812;6.808.277
70-74;1.205.425;1.227.294;1.244.987;1.262.664;1.285.909;1.317.468;1.356.576;1.404.094;1.455.912;1.505.948;1.551.380;1.593.568;1.631.870;1.672.545;1.724.737;1.793.495;1.877.125;1.975.674;2.085.064;2.198.831;2.312.935;2.428.084;2.544.065;2.661.134;2.780.198;2.901.666;3.024.549;3.147.716;3.271.643;3.397.284;3.524.715;3.653.396;3.783.863;3.911.191;4.028.124;4.130.579;4.219.875;4.296.242;4.363.783;4.428.838;4.496.087;4.565.006;4.635.014;4.711.011;4.799.697;4.904.742;5.024.366;5.156.933;5.300.037;5.450.180;5.603.384;5.759.698;5.921.798;6.073.448;6.190.948;6.260.822;6.286.174;6.265.089;6.215.034;6.164.038;6.130.039
75-79;760.107;788.689;819.781;850.961;879.197;903.397;924.691;943.182;961.948;985.162;1.014.838;1.050.436;1.092.658;1.138.166;1.182.129;1.222.314;1.259.991;1.294.881;1.331.960;1.378.526;1.438.562;1.510.687;1.594.877;1.687.888;1.784.585;1.881.734;1.979.967;2.079.191;2.179.533;2.281.677;2.385.893;2.491.328;2.597.051;2.703.440;2.811.319;2.920.765;3.031.350;3.143.493;3.252.989;3.353.697;3.442.212;3.519.815;3.586.834;3.646.640;3.704.434;3.764.041;3.824.998;3.886.811;3.953.708;4.031.433;4.123.077;4.226.921;4.341.383;4.464.557;4.593.693;4.725.520;4.859.990;4.999.307;5.129.404;5.229.987;5.289.736
80-84;404.998;419.607;435.963;453.985;473.799;495.196;518.193;543.264;568.617;592.067;612.792;631.594;648.578;665.820;686.155;710.926;739.870;773.558;809.560;844.400;876.525;906.978;935.692;966.330;1.004.178;1.052.069;1.108.945;1.174.746;1.247.090;1.322.244;1.397.896;1.474.497;1.551.991;1.630.447;1.710.304;1.791.730;1.874.153;1.956.914;2.040.324;2.125.020;2.211.013;2.297.951;2.386.135;2.472.248;2.551.510;2.621.355;2.682.953;2.736.700;2.785.151;2.832.156;2.880.518;2.929.888;2.979.865;3.033.821;3.096.299;3.169.661;3.252.370;3.342.957;3.440.046;3.541.769;3.645.702
85-89;189.758;188.073;191.271;197.541;205.707;214.996;225.459;237.173;250.081;264.197;279.343;295.542;313.082;330.790;347.268;361.970;375.571;388.325;401.433;416.496;434.245;454.543;477.820;502.499;526.410;548.608;569.895;590.351;612.326;639.172;672.603;711.843;756.762;805.792;856.590;907.712;959.565;1.012.200;1.065.638;1.120.109;1.175.668;1.231.963;1.288.579;1.345.735;1.403.856;1.462.927;1.522.689;1.583.324;1.642.510;1.696.971;1.745.014;1.787.610;1.825.210;1.859.484;1.892.882;1.927.182;1.962.139;1.997.466;2.035.560;2.079.611;2.131.195
90+;103.543;103.926;103.223;102.638;102.692;103.456;105.483;109.147;114.137;120.175;126.957;134.638;143.286;152.780;163.055;173.888;185.523;198.366;211.755;224.920;237.432;249.845;262.490;275.637;289.702;304.811;321.132;339.094;357.968;376.775;395.067;414.229;433.713;454.457;477.764;504.258;533.709;566.122;601.060;637.922;676.300;716.377;758.254;801.732;846.624;892.743;940.016;988.284;1.037.591;1.088.097;1.139.689;1.192.169;1.245.565;1.298.545;1.349.353;1.397.104;1.442.475;1.485.898;1.527.649;1.568.141;1.607.811
